label	Assembly Accession	Organism Name	Assembly Release Date
campylobacter_lari	GCF_000019205.1	Campylobacter lari RM2100	2009-02-05
burkholderia_dolosa	GCF_000959505.1	Burkholderia dolosa AU0158	2015-03-20
burkholderia_multivorans	GCF_036352035.1	Burkholderia multivorans	2024-02-04
pseudomonas_protegens	GCF_900560965.1	Pseudomonas protegens CHA0	2019-03-14
chlamydia_pneumoniae	GCF_000007205.1	Chlamydia pneumoniae TW-183	2003-07-25
candidatus_nitrospira_inopinata	GCF_001458695.1	Candidatus Nitrospira inopinata	2015-11-16
acinetobacter_lwoffii	GCF_019343495.1	Acinetobacter lwoffii	2021-07-26
acinetobacter_johnsonii	GCF_000368805.1	Acinetobacter johnsonii ANC 3681	2013-04-19
streptococcus_anginosus	GCF_001412635.1	Streptococcus anginosus	2015-10-26
streptococcus_parauberis	GCF_002900385.1	Streptococcus parauberis	2018-01-26
moraxella_osloensis	GCF_001553955.1	Moraxella osloensis	2016-02-09
streptococcus_marmotae	GCF_001623565.1	Streptococcus marmotae	2016-04-19
streptococcus_sobrinus	GCF_003172975.1	Streptococcus sobrinus	2018-05-27
streptococcus_mutans	GCF_009738105.1	Streptococcus mutans	2019-12-10
streptococcus_ferus	GCF_900475025.1	Streptococcus ferus	2018-06-17
streptococcus_acidominimus	GCF_900459045.1	Streptococcus acidominimus	2018-08-01
streptococcus_iniae	GCF_000300915.1	Streptococcus iniae 9117	2012-10-02
streptococcus_parasanguinis	GCF_900459355.1	Streptococcus parasanguinis	2018-08-01
streptococcus_merionis	GCF_900187085.1	Streptococcus merionis	2017-08-15
streptococcus_pluranimalium	GCF_002953735.1	Streptococcus pluranimalium	2018-02-01
streptococcus_porcinus	GCF_901553735.1	Streptococcus porcinus	2019-05-17
streptococcus_australis	GCF_900636505.1	Streptococcus australis	2018-12-20
streptococcus_thermophilus	GCF_903886475.1	Streptococcus thermophilus	2020-07-10
streptococcus_halotolerans	GCF_001598035.1	Streptococcus halotolerans	2016-03-28
tropheryma_whipplei	GCF_000196075.1	Tropheryma whipplei TW08/27	2003-05-06
propionibacterium_freudenreichii	GCF_900087655.1	Propionibacterium freudenreichii	2017-10-09
paenibacillus_larvae	GCF_002951935.1	Paenibacillus larvae subsp. larvae	2018-02-20
citrobacter_farmeri	GCF_003938205.1	Citrobacter farmeri	2018-12-11
klebsiella_michiganensis	GCF_015139575.1	Klebsiella michiganensis	2020-10-08
kingella_kingae	GCF_000470255.1	Kingella kingae KK12	2013-09-18
dinoroseobacter_shibae	GCF_000018145.1	Dinoroseobacter shibae DFL 12 = DSM 16493	2007-10-05
shigella_flexneri	GCF_000006925.2	Shigella flexneri 2a str. 301	2011-08-03
streptococcus_salivarius	GCF_902858935.1	Streptococcus salivarius	2020-04-25
cutibacterium_acnes	GCF_000376705.1	Cutibacterium acnes HL096PA1	2013-04-22
streptococcus_sanguinis	GCF_900475045.1	Streptococcus sanguinis	2018-06-17
streptococcus_intermedius	GCF_900475975.1	Streptococcus intermedius	2018-06-17
streptococcus_gallolyticus	GCF_013267695.1	Streptococcus gallolyticus	2020-06-04
streptococcus_gordonii	GCF_901544385.1	Streptococcus gordonii	2019-05-17
streptococcus_lutetiensis	GCF_900475675.1	Streptococcus lutetiensis	2018-06-17
treponema_pallidum	GCF_000246755.1	Treponema pallidum subsp. pertenue str. SamoaD	2012-02-06
stenotrophomonas_rhizophila	GCF_000661955.1	Stenotrophomonas rhizophila	2014-05-01
pseudomonas_monteilii	GCF_003671975.1	Pseudomonas monteilii	2018-10-22
pseudomonas_alcaligenes	GCF_001597285.1	Pseudomonas alcaligenes	2016-03-25
staphylococcus_pettenkoferi	GCF_002208805.2	Staphylococcus pettenkoferi	2018-03-02
acinetobacter_nosocomialis	GCF_005281455.1	Acinetobacter nosocomialis M2	2019-05-13
yersinia_enterocolitica	GCF_025758635.1	Yersinia enterocolitica	2022-10-19
octadecabacter_temperatus	GCF_001187845.1	Octadecabacter temperatus	2015-07-28
phaeobacter_piscinae	GCF_000826835.2	Phaeobacter piscinae	2022-07-25
photobacterium_damselae	GCF_009665375.1	Photobacterium damselae	2019-11-18
paenibacillus_mucilaginosus	GCF_000258535.2	Paenibacillus mucilaginosus K02	2013-06-10
staphylococcus_pasteuri	GCF_016599795.1	Staphylococcus pasteuri	2021-01-11
staphylococcus_simulans	GCF_025561465.1	Staphylococcus simulans	2022-10-04
staphylococcus_pseudintermedius	GCF_016126715.1	Staphylococcus pseudintermedius	2020-12-20
staphylococcus_succinus	GCF_001902315.1	Staphylococcus succinus	2016-12-13
xenorhabdus_nematophila	GCF_014295015.1	Xenorhabdus nematophila	2020-08-25
streptococcus_equinus	GCF_900102715.1	Streptococcus equinus	2016-10-21
mycobacterium_intracellulare	GCF_020736005.1	Mycobacterium intracellulare	2021-11-03
lactococcus_lactis	GCF_003176835.1	Lactococcus lactis subsp. lactis	2018-05-30
achromobacter_spanius	GCF_900636675.1	Achromobacter spanius	2018-12-20
corynebacterium_jeikeium	GCF_000006605.1	Corynebacterium jeikeium K411	2005-06-27
sodalis_glossinidius	GCF_000010085.1	Sodalis glossinidius str. 'morsitans'	2006-01-10
mycolicibacter_sinensis	GCF_000214155.1	Mycolicibacter sinensis	2011-05-20
chlamydia_pecorum	GCF_020459125.1	Chlamydia pecorum	2021-10-13
lactobacillus_crispatus	GCF_009769205.1	Lactobacillus crispatus	2019-12-19
bifidobacterium_longum	GCF_000196555.1	Bifidobacterium longum subsp. longum JCM 1217	2011-01-28
staphylococcus_saprophyticus	GCF_007814115.1	Staphylococcus saprophyticus	2019-08-01
staphylococcus_xylosus	GCF_000709415.1	Staphylococcus xylosus	2014-06-17
blautia_hansenii	GCF_002222595.2	Blautia hansenii DSM 20583	2017-08-30
acutalibacter_muris	GCF_002201475.1	Acutalibacter muris	2017-06-20
adlercreutzia_equolifaciens	GCF_000478885.1	Adlercreutzia equolifaciens DSM 19450	2013-08-16
acinetobacter_calcoaceticus	GCF_002055515.1	Acinetobacter calcoaceticus	2017-03-21
serratia_fonticola	GCF_001006005.1	Serratia fonticola	2015-05-11
brucella_canis	GCF_000018525.1	Brucella canis ATCC 23365	2007-11-29
bacillus_atrophaeus	GCF_000742675.1	Bacillus atrophaeus subsp. globigii	2014-08-21
staphylococcus_hominis	GCF_003812505.1	Staphylococcus hominis	2018-11-21
brucella_melitensis	GCF_000007125.1	Brucella melitensis bv. 1 str. 16M	2001-12-28
sorangium_cellulosum	GCF_000067165.1	Sorangium cellulosum So ce56	2007-11-27
brachyspira_hyodysenteriae	GCF_017751225.1	Brachyspira hyodysenteriae	2021-04-05
pluralibacter_gergoviae	GCF_003019925.1	Pluralibacter gergoviae	2018-03-27
citrobacter_rodentium	GCF_021278985.1	Citrobacter rodentium NBRC 105723 = DSM 16636	2021-12-23
mycobacterium_marinum	GCF_000723425.2	Mycobacterium marinum E11	2015-07-02
yersinia_pestis	GCF_000222975.1	Yersinia pestis A1122	2011-08-05
leuconostoc_suionicum	GCF_900289205.1	Leuconostoc suionicum	2018-03-17
leuconostoc_mesenteroides	GCF_009913915.1	Leuconostoc mesenteroides	2020-01-22
flavobacterium_columnare	GCF_014844295.1	Flavobacterium columnare	2020-10-05
glaesserella_parasuis	GCF_017352235.1	Glaesserella parasuis	2021-03-14
rickettsia_typhi	GCF_000277285.1	Rickettsia typhi str. TH1527	2012-03-21
chlamydia_abortus	GCF_900416725.2	Chlamydia abortus	2021-08-12
chlamydia_psittaci	GCF_000204255.1	Chlamydia psittaci 6BC	2011-04-14
cupriavidus_gilardii	GCF_013347325.1	Cupriavidus gilardii	2020-06-16
enterococcus_durans	GCF_002277935.1	Enterococcus durans	2017-08-30
candidatus_planktophila_vernalis	GCF_002288185.1	Candidatus Planktophila vernalis	2017-09-08
rhodopirellula_baltica	GCF_000196115.1	Rhodopirellula baltica SH 1	2003-07-07
variovorax_boronicumulans	GCF_009811375.1	Variovorax boronicumulans	2019-12-05
ignavibacterium_album	GCF_000258405.1	Ignavibacterium album JCM 16511	2012-04-10
gordonia_iterans	GCF_002993285.1	Gordonia iterans	2018-03-11
acinetobacter_soli	GCF_018139125.1	Acinetobacter soli	2021-04-25
thermomonospora_curvata	GCF_000024385.1	Thermomonospora curvata DSM 43183	2009-11-16
leifsonia_xyli	GCF_000470775.1	Leifsonia xyli subsp. cynodontis DSM 46306	2013-09-24
gardnerella_vaginalis	GCF_002861965.1	Gardnerella vaginalis	2017-12-28
lactobacillus_jensenii	GCF_001936235.1	Lactobacillus jensenii	2017-01-05
neisseria_cinerea	GCF_900475315.1	Neisseria cinerea	2018-06-17
paenibacillus_naphthalenovorans	GCF_001465255.1	Paenibacillus naphthalenovorans	2015-12-11
zobellella_denitrificans	GCF_002407485.1	Zobellella denitrificans	2017-10-02
shewanella_marisflavi	GCF_002215585.1	Shewanella marisflavi	2017-07-06
vibrio_furnissii	GCF_006364355.1	Vibrio furnissii	2019-06-19
providencia_sneebia	GCF_000314895.2	Providencia sneebia DSM 19967	2013-05-22
mycoplasma_leachii	GCF_000253095.1	Mycoplasma leachii 99/014/6	2011-07-04
actinobacillus_pleuropneumoniae	GCF_900638445.1	Actinobacillus pleuropneumoniae	2018-12-20
actinobacillus_suis	GCF_000739435.1	Actinobacillus suis ATCC 33415	2014-08-14
actinobacillus_porcitonsillarum	GCF_003101015.1	Actinobacillus porcitonsillarum	2018-05-09
haemophilus_haemolyticus	GCF_900477945.1	Haemophilus haemolyticus	2018-06-17
legionella_anisa	GCF_003176875.1	Legionella anisa	2018-05-30
legionella_lansingensis	GCF_900187355.1	Legionella lansingensis	2017-08-15
legionella_sainthelensi	GCF_002848365.2	Legionella sainthelensi	2018-10-16
legionella_waltersii	GCF_900187095.1	Legionella waltersii	2017-08-15
legionella_clemsonensis	GCF_002240035.1	Legionella clemsonensis	2017-08-02
legionella_hackeliae	GCF_000953655.1	Legionella hackeliae	2014-12-09
fluoribacter_dumoffii	GCF_000236145.1	Fluoribacter dumoffii Tex-KL	2011-11-29
legionella_fallonii	GCF_000953135.1	Legionella fallonii LLAP-10	2014-10-21
legionella_spiritensis	GCF_900637495.1	Legionella spiritensis	2018-12-20
legionella_oakridgensis	GCF_001467925.1	Legionella oakridgensis	2015-12-15
bacteroides_ovatus	GCF_001314995.1	Bacteroides ovatus	2015-10-15
legionella_longbeachae	GCF_000091785.1	Legionella longbeachae NSW150	2010-02-13
yersinia_aldovae	GCF_000834395.1	Yersinia aldovae 670-83	2015-02-09
yersinia_entomophaga	GCF_001656035.1	Yersinia entomophaga	2016-06-03
helicobacter_bizzozeronii	GCF_900196775.1	Helicobacter bizzozeronii	2018-01-30
campylobacter_fetus	GCF_011600945.2	Campylobacter fetus	2020-07-31
wolbachia_endosymbiont_of_drosophila_simulans	GCF_000376605.1	Wolbachia endosymbiont of Drosophila simulans wHa	2013-04-22
campylobacter_sputorum	GCF_002220755.1	Campylobacter sputorum bv. paraureolyticus LMG 11764	2017-07-18
mycobacterium_colombiense	GCF_000222105.3	Mycobacterium colombiense CECT 3035	2012-09-11
bifidobacterium_breve	GCF_024665435.1	Bifidobacterium breve	2022-08-15
lactobacillus_gasseri	GCF_000439915.2	Lactobacillus gasseri 2016	2022-01-18
leuconostoc_lactis	GCF_007954605.1	Leuconostoc lactis	2019-08-11
lactobacillus_acidophilus	GCF_000389675.2	Lactobacillus acidophilus La-14	2013-06-21
lactobacillus_helveticus	GCF_003053085.1	Lactobacillus helveticus	2018-04-17
delftia_tsuruhatensis	GCF_029215875.1	Delftia tsuruhatensis	2023-03-15
lactobacillus_apis	GCF_003150935.1	Lactobacillus apis	2018-05-24
bifidobacterium_asteroides	GCF_000304215.1	Bifidobacterium asteroides PRL2011	2012-10-09
mycolicibacterium_rhodesiae	GCF_002086695.1	Mycolicibacterium rhodesiae	2017-04-11
nocardia_cyriacigeorgica	GCF_002949635.1	Nocardia cyriacigeorgica	2018-02-22
staphylococcus_equorum	GCF_016127455.1	Staphylococcus equorum	2020-12-20
collinsella_aerofaciens	GCF_002736145.1	Collinsella aerofaciens	2017-10-30
clostridium_butyricum	GCF_001886875.1	Clostridium butyricum	2016-11-28
intestinimonas_butyriciproducens	GCF_001940005.1	Intestinimonas butyriciproducens	2017-01-09
microbacterium_paludicola	GCF_001887285.1	Microbacterium paludicola	2016-11-29
yersinia_pseudotuberculosis	GCF_000834295.1	Yersinia pseudotuberculosis IP 32953	2015-02-09
klebsiella_quasivariicola	GCF_020525665.1	Klebsiella quasivariicola	2021-10-19
bacillus_infantis	GCF_020172065.1	Bacillus infantis	2021-09-28
alistipes_finegoldii	GCF_027677115.1	Alistipes finegoldii	2023-01-12
ralstonia_pickettii	GCF_902374465.1	Ralstonia pickettii	2019-08-22
mycolicibacterium_smegmatis	GCF_013349145.1	Mycolicibacterium smegmatis	2020-06-18
burkholderia_thailandensis	GCF_001718635.1	Burkholderia thailandensis	2016-09-02
raoultella_planticola	GCF_022637595.1	Raoultella planticola	2022-03-21
staphylococcus_auricularis	GCF_016028295.1	Staphylococcus auricularis	2020-12-14
moritella_viscosa	GCF_900120065.1	Moritella viscosa	2016-11-27
mycobacterium_ulcerans	GCF_020616615.1	Mycobacterium ulcerans	2021-10-26
enterococcus_casseliflavus	GCF_000157355.2	Enterococcus casseliflavus EC20	2013-04-11
helicobacter_typhlonius	GCF_001460635.1	Helicobacter typhlonius	2015-11-20
micromonospora_krabiensis	GCF_900091425.1	Micromonospora krabiensis	2016-07-08
prevotella_melaninogenica	GCF_000144405.1	Prevotella melaninogenica ATCC 25845	2010-08-04
bordetella_trematum	GCF_900445945.1	Bordetella trematum	2018-08-08
bordetella_bronchialis	GCF_001676745.1	Bordetella bronchialis	2016-06-27
bordetella_hinzii	GCF_006770325.1	Bordetella hinzii	2019-07-09
helicobacter_felis	GCF_000200595.1	Helicobacter felis ATCC 49179	2011-03-15
nocardia_brasiliensis	GCF_002209125.2	Nocardia brasiliensis	2018-03-08
lysinibacillus_sphaericus	GCF_020546525.1	Lysinibacillus sphaericus	2021-10-25
pseudomonas_mendocina	GCF_000733715.2	Pseudomonas mendocina S5.2	2015-11-09
acinetobacter_schindleri	GCF_010918895.1	Acinetobacter schindleri	2020-02-21
mycobacterium_canettii	GCF_000253375.1	Mycobacterium canettii CIPT 140010059	2011-07-14
mycobacteroides_immunogenum	GCF_001605725.1	Mycobacteroides immunogenum	2016-03-31
chlamydia_muridarum	GCF_000006685.1	Chlamydia muridarum str. Nigg	2003-03-26
campylobacter_hyointestinalis	GCF_013372165.1	Campylobacter hyointestinalis subsp. lawsonii	2020-06-24
enterococcus_mundtii	GCF_002813755.1	Enterococcus mundtii	2017-12-07
endozoicomonas_montiporae	GCF_001583435.1	Endozoicomonas montiporae CL-33	2016-03-08
carnobacterium_maltaromaticum	GCF_949790605.1	Carnobacterium maltaromaticum	2023-04-16
weissella_koreensis	GCF_000219805.1	Weissella koreensis KACC 15510	2011-06-30
lactobacillus_kefiranofaciens	GCF_014656585.1	Lactobacillus kefiranofaciens	2020-09-19
carnobacterium_divergens	GCF_900446755.1	Carnobacterium divergens	2018-08-07
lactobacillus_amylolyticus	GCF_003999355.1	Lactobacillus amylolyticus	2019-01-08
lactobacillus_acetotolerans	GCF_008831485.1	Lactobacillus acetotolerans	2019-10-07
pediococcus_claussenii	GCF_001702215.1	Pediococcus claussenii	2016-08-10
weissella_viridescens	GCF_014789145.1	Weissella viridescens	2020-09-29
pseudomonas_extremaustralis	GCF_900102035.1	Pseudomonas extremaustralis	2016-10-20
geobacter_sulfurreducens	GCF_000007985.2	Geobacter sulfurreducens PCA	2012-07-31
ndongobacter_massiliensis	GCF_900120375.1	Ndongobacter massiliensis	2016-11-22
caulobacter_vibrioides	GCF_000022005.1	Caulobacter vibrioides NA1000	2009-01-16
olsenella_uli	GCF_000143845.1	Olsenella uli DSM 7084	2010-07-26
acinetobacter_indicus	GCF_009914475.1	Acinetobacter indicus	2020-01-22
paenibacillus_ihbetae	GCF_002741055.1	Paenibacillus ihbetae	2016-08-05
bacillus_pumilus	GCF_003020795.1	Bacillus pumilus	2018-03-27
brucella_abortus	GCF_000054005.1	Brucella abortus 2308	2005-12-01
brucella_ceti	GCF_000590795.1	Brucella ceti TE10759-12	2013-11-25
campylobacter_lanienae	GCF_002139935.1	Campylobacter lanienae NCTC 13004	2017-05-15
francisella_tularensis	GCF_000833355.1	Francisella tularensis subsp. novicida D9876	2015-02-06
wolbachia_endosymbiont_of_drosophila_melanogaster	GCF_016584425.1	Wolbachia endosymbiont of Drosophila melanogaster	2021-01-08
bordetella_pseudohinzii	GCF_001698185.1	Bordetella pseudohinzii	2016-08-02
chthonomonas_calidirosea	GCF_000427095.1	Chthonomonas calidirosea T49	2013-06-04
nocardia_nova	GCF_019219615.1	Nocardia nova	2021-07-14
acinetobacter_haemolyticus	GCF_003323815.1	Acinetobacter haemolyticus	2018-07-16
bacillus_safensis	GCF_008244765.1	Bacillus safensis	2019-09-03
corynebacterium_falsenii	GCF_020097615.1	Corynebacterium falsenii	2021-09-23
coxiella_burnetii	GCF_000007765.2	Coxiella burnetii RSA 493	2016-11-10
bacteroides_helcogenes	GCF_000186225.1	Bacteroides helcogenes P 36-108	2011-01-18
tatumella_ptyseos	GCF_000439895.1	Tatumella ptyseos ATCC 33301	2013-07-23
brachybacterium_saurashtrense	GCF_003355475.1	Brachybacterium saurashtrense	2018-08-06
streptomyces_venezuelae	GCF_001886595.1	Streptomyces venezuelae	2016-11-28
cloacibacillus_porcorum	GCF_001701045.1	Cloacibacillus porcorum	2016-08-09
dichelobacter_nodosus	GCF_000015345.1	Dichelobacter nodosus VCS1703A	2007-05-04
mycobacterium_marseillense	GCF_002285715.1	Mycobacterium marseillense	2017-09-05
desulfitobacterium_hafniense	GCF_000021925.1	Desulfitobacterium hafniense DCB-2	2009-01-05
vibrio_tritonius	GCF_001547935.1	Vibrio tritonius	2015-09-11
yersinia_ruckeri	GCF_017498685.1	Yersinia ruckeri	2021-03-21
aeromonas_schubertii	GCF_001481395.1	Aeromonas schubertii	2015-12-22
lachnoclostridium_phytofermentans	GCF_000018685.1	Lachnoclostridium phytofermentans ISDg	2007-11-19
brevundimonas_naejangsanensis	GCF_000421705.1	Brevundimonas naejangsanensis DSM 23858	2013-07-09
brucella_suis	GCF_000007505.1	Brucella suis 1330	2004-10-13
corynebacterium_epidermidicanis	GCF_001021025.1	Corynebacterium epidermidicanis	2015-06-05
bacteroides_caccae	GCF_018292205.1	Bacteroides caccae CL03T12C61	2021-05-06
parabacteroides_distasonis	GCF_012273055.1	Parabacteroides distasonis	2020-04-12
bifidobacterium_adolescentis	GCF_003030905.1	Bifidobacterium adolescentis	2018-04-03
bacteroides_thetaiotaomicron	GCF_014131755.1	Bacteroides thetaiotaomicron	2020-08-10
bacteroides_cellulosilyticus	GCF_018292125.1	Bacteroides cellulosilyticus	2021-05-06
barnesiella_viscericola	GCF_000512915.1	Barnesiella viscericola DSM 18177	2014-01-03
eubacterium_limosum	GCF_000807675.2	Eubacterium limosum	2017-04-03
alistipes_shahii	GCF_015558405.1	Alistipes shahii	2020-11-17
[haemophilus]_ducreyi	GCF_001647695.1	[Haemophilus] ducreyi	2016-05-19
mesorhizobium_ciceri	GCF_001618845.1	Mesorhizobium ciceri biovar biserrulae	2016-04-12
candidatus_protochlamydia_amoebophila	GCF_000011565.2	Candidatus Protochlamydia amoebophila UWE25	2019-06-22
xenorhabdus_bovienii	GCF_000736675.1	Xenorhabdus bovienii str. feltiae Florida	2014-07-28
campylobacter_concisus	GCF_001298465.1	Campylobacter concisus	2015-09-24
meiothermus_ruber	GCF_000376665.1	Meiothermus ruber DSM 1279	2013-04-22
pedobacter_heparinus	GCF_000023825.1	Pedobacter heparinus DSM 2366	2009-08-05
pandoraea_apista	GCF_001465595.2	Pandoraea apista	2016-12-05
pectobacterium_polaris	GCF_002288545.1	Pectobacterium polaris	2017-09-08
psychrobacter_cryohalolentis	GCF_002208765.2	Psychrobacter cryohalolentis	2018-03-06
aeromonas_rivipollensis	GCF_037811135.1	Aeromonas rivipollensis	2024-04-05
streptomyces_collinus	GCF_014204745.1	Streptomyces collinus	2020-08-14
celeribacter_marinus	GCF_001308265.1	Celeribacter marinus	2015-10-08
streptomyces_sviceus	GCF_000154965.1	Streptomyces sviceus ATCC 29083	2010-05-28
actinotignum_schaalii	GCF_000724605.1	Actinotignum schaalii	2014-07-10
slackia_heliotrinireducens	GCF_900637575.1	Slackia heliotrinireducens	2018-12-20
gemella_morbillorum	GCF_009730315.1	Gemella morbillorum	2019-12-05
corynebacterium_atypicum	GCF_000732945.1	Corynebacterium atypicum	2014-07-24
mobiluncus_curtisii	GCF_000196535.1	Mobiluncus curtisii ATCC 43063	2010-06-14
actinomyces_oris	GCF_016127955.1	Actinomyces oris	2020-12-20
haemophilus_parainfluenzae	GCF_000191405.1	Haemophilus parainfluenzae ATCC 33392	2011-03-04
dialister_pneumosintes	GCF_003570845.1	Dialister pneumosintes	2018-09-14
actinomyces_radicidentis	GCF_001553565.1	Actinomyces radicidentis	2016-02-09
oligella_urethralis	GCF_900454325.1	Oligella urethralis	2018-08-01
rothia_dentocariosa	GCF_000164695.2	Rothia dentocariosa ATCC 17931	2010-11-03
streptococcus_uberis	GCF_900460135.1	Streptococcus uberis	2018-07-31
luteipulveratus_mongoliensis	GCF_001190945.1	Luteipulveratus mongoliensis	2015-08-03
rhizobium_gallicum	GCF_000816845.1	Rhizobium gallicum bv. gallicum R602sp	2015-01-09
burkholderia_ambifaria	GCF_016127755.1	Burkholderia ambifaria	2020-12-20
paraburkholderia_caledonica	GCF_000383275.1	Paraburkholderia caledonica	2013-04-26
paraburkholderia_caribensis	GCF_000522545.2	Paraburkholderia caribensis MBA4	2015-10-30
burkholderia_plantarii	GCF_001411805.1	Burkholderia plantarii	2015-10-23
burkholderia_vietnamiensis	GCF_001523705.1	Burkholderia vietnamiensis	2016-01-21
burkholderia_metallica	GCF_001718555.1	Burkholderia metallica	2016-09-02
burkholderia_seminalis	GCF_001718535.1	Burkholderia seminalis	2016-09-02
paraburkholderia_fungorum	GCF_000961515.1	Paraburkholderia fungorum	2015-03-24
pantoea_agglomerans	GCF_019048385.1	Pantoea agglomerans	2021-06-28
enterobacter_ludwigii	GCF_001750725.1	Enterobacter ludwigii	2016-10-03
komagataeibacter_rhaeticus	GCF_011611525.1	Komagataeibacter rhaeticus	2020-03-23
kocuria_palustris	GCF_001275345.1	Kocuria palustris	2015-08-27
neisseria_zoodegmatis	GCF_900187305.1	Neisseria zoodegmatis	2017-08-15
kosakonia_sacchari	GCF_001683395.1	Kosakonia sacchari	2016-07-11
odoribacter_splanchnicus	GCF_020736405.1	Odoribacter splanchnicus DSM 20712	2021-11-03
leisingera_methylohalidivorans	GCF_000511355.1	Leisingera methylohalidivorans DSM 14336	2013-12-20
selenomonas_ruminantium	GCF_000424065.1	Selenomonas ruminantium subsp. ruminantium ATCC 12561	2013-07-11
monoglobus_pectinilyticus	GCF_002874775.1	Monoglobus pectinilyticus	2018-01-11
bifidobacterium_bifidum	GCF_000273525.1	Bifidobacterium bifidum NCIMB 41171	2012-06-15
clostridium_baratii	GCF_001991075.2	Clostridium baratii	2018-05-01
ruminococcus_champanellensis	GCF_000210095.1	Ruminococcus champanellensis 18P13 = JCM 17042	2010-03-25
anoxybacillus_flavithermus	GCF_000019045.1	Anoxybacillus flavithermus WK1	2008-11-13
campylobacter_ureolyticus	GCF_013372225.1	Campylobacter ureolyticus	2020-06-24
anaerococcus_mediterraneensis	GCF_900128415.1	Anaerococcus mediterraneensis	2016-11-25
corynebacterium_kroppenstedtii	GCF_000023145.1	Corynebacterium kroppenstedtii DSM 44385	2009-05-19
kytococcus_sedentarius	GCF_900452405.1	Kytococcus sedentarius	2018-08-01
corynebacterium_aurimucosum	GCF_000022905.1	Corynebacterium aurimucosum ATCC 700975	2009-04-24
bacillus_weihaiensis	GCF_001889165.1	Bacillus weihaiensis	2016-12-05
aerococcus_sanguinicola	GCF_905113025.1	Aerococcus sanguinicola	2020-11-21
gordonia_terrae	GCF_901542405.1	Gordonia terrae	2019-06-02
corynebacterium_sphenisci	GCF_001941505.1	Corynebacterium sphenisci DSM 44792	2017-01-10
plantibacter_flavus	GCF_003755125.1	Plantibacter flavus	2018-11-15
novosphingobium_resinovorum	GCF_001742225.1	Novosphingobium resinovorum	2016-09-22
sphingomonas_koreensis	GCF_001922385.1	Sphingomonas koreensis	2016-12-27
sphingomonas_taxi	GCF_000764535.1	Sphingomonas taxi	2014-10-08
sphingobium_yanoikuyae	GCF_002504085.1	Sphingobium yanoikuyae	2017-10-10
rahnella_aquatilis	GCF_000241955.1	Rahnella aquatilis CIP 78.65 = ATCC 33071	2012-01-10
erwinia_billingiae	GCF_000196615.1	Erwinia billingiae Eb661	2010-06-22
stenotrophomonas_acidaminiphila	GCF_014109845.1	Stenotrophomonas acidaminiphila	2020-08-07
methylorubrum_extorquens	GCF_000083545.1	Methylorubrum extorquens DM4	2009-07-17
methylorubrum_zatmanii	GCF_014845115.1	Methylorubrum zatmanii	2020-10-05
pseudomonas_rhizosphaerae	GCF_000761155.1	Pseudomonas rhizosphaerae	2014-10-01
xanthomonas_hortorum	GCF_002285515.1	Xanthomonas hortorum	2017-09-05
pseudarthrobacter_equi	GCF_900105535.1	Pseudarthrobacter equi	2016-10-21
pseudarthrobacter_phenanthrenivorans	GCF_006494475.1	Pseudarthrobacter phenanthrenivorans	2019-06-26
xanthomonas_vesicatoria	GCF_001908725.1	Xanthomonas vesicatoria ATCC 35937	2016-12-19
chryseobacterium_glaciei	GCF_001648155.1	Chryseobacterium glaciei	2016-05-19
curtobacterium_pusillum	GCF_027922105.1	Curtobacterium pusillum	2023-01-19
rathayibacter_tritici	GCF_001641005.1	Rathayibacter tritici	2016-05-09
dyadobacter_fermentans	GCF_000023125.1	Dyadobacter fermentans DSM 18053	2009-07-31
microterricola_viridarii	GCF_900104895.1	Microterricola viridarii	2016-10-20
variovorax_paradoxus	GCF_033807855.1	Variovorax paradoxus	2023-11-20
agromyces_aureus	GCF_001660485.1	Agromyces aureus	2016-06-09
neomicrococcus_aestuarii	GCF_001887245.1	Neomicrococcus aestuarii	2016-11-29
aeromicrobium_erythreum	GCF_001509405.1	Aeromicrobium erythreum	2016-01-08
rhodoferax_koreense	GCF_001955695.1	Rhodoferax koreense	2017-01-18
nocardioides_dokdonensis	GCF_001653335.1	Nocardioides dokdonensis FR1436	2016-05-27
neorhizobium_galegae	GCF_000731315.1	Neorhizobium galegae bv. orientalis str. HAMBI 540	2014-06-25
deinococcus_gobiensis	GCF_000252445.1	Deinococcus gobiensis I-0	2012-03-12
modestobacter_marinus	GCF_014645755.1	Modestobacter marinus	2020-09-12
bradyrhizobium_ottawaense	GCF_009176665.1	Bradyrhizobium ottawaense	2019-10-02
ramlibacter_tataouinensis	GCF_000215705.1	Ramlibacter tataouinensis TTB310	2011-06-03
pseudomonas_koreensis	GCF_900101415.1	Pseudomonas koreensis	2016-10-20
methylorubrum_populi	GCF_000019945.1	Methylorubrum populi BJ001	2008-04-09
mesorhizobium_opportunistum	GCF_000176035.2	Mesorhizobium opportunistum WSM2075	2011-06-14
rhizobium_leguminosarum	GCF_004306555.1	Rhizobium leguminosarum	2019-02-26
rhizobium_favelukesii	GCF_000577275.2	Rhizobium favelukesii	2014-02-11
rhodopseudomonas_palustris	GCF_016584445.1	Rhodopseudomonas palustris	2021-01-08
ensifer_adhaerens	GCF_000697965.2	Ensifer adhaerens	2016-06-16
methylibium_petroleiphilum	GCF_000015725.1	Methylibium petroleiphilum PM1	2007-01-29
phenylobacterium_zucineum	GCF_000017265.1	Phenylobacterium zucineum HLK1	2008-08-18
